operator_id,missed_calls,avg_waiting_time,avg_call_duration,outbound_calls,inbound_calls,internal_calls,total_calls_count,total_calls,missed_call_rate,outbound_activity,score_missed,score_wait,score_outbound,inefficiency_score
882690,10,172.53571428571428,311.07142857142856,10,18,1,206,28,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.37345392702535557,0.6428571428571428,0.40570887445887444
883018,1,15.0,0.0,1,0,False,2,1,1.0,1.0,1.0,0.032467532467532464,0.0,0.5113636363636364
883898,0,10.0,70.0,1,0,False,1,1,0.0,1.0,0.0,0.021645021645021644,0.0,0.007575757575757575
883940,14,208.96774193548387,318.64516129032256,24,7,0,367,31,0.45161290322580644,0.7741935483870968,0.45161290322580644,0.4523111297304846,0.22580645161290325,0.4179863147605083
883942,62,125.584,301.744,83,42,1,948,125,0.496,0.664,0.496,0.27182683982683986,0.33599999999999997,0.39353939393939397
884294,0,6.0,5.0,0,1,False,1,1,0.0,0.0,0.0,0.012987012987012988,1.0,0.15454545454545454
884402,1,24.333333333333332,71.33333333333333,3,0,2,4,3,0.3333333333333333,1.0,0.3333333333333333,0.052669552669552665,0.0,0.1851010101010101
884406,2,35.5,4.0,4,0,4,6,4,0.5,1.0,0.5,0.07683982683982683,0.0,0.2768939393939394
884408,10,62.44444444444444,94.37037037037037,11,16,8,66,27,0.37037037037037035,0.4074074074074074,0.37037037037037035,0.13516113516113515,0.5925925925925926,0.3213804713804713
884412,46,82.75652173913043,239.4,97,18,9,497,115,0.4,0.8434782608695652,0.4,0.17912667043101826,0.15652173913043477,0.2861725955204216
884478,23,122.50909090909092,222.14545454545456,41,14,3,486,55,0.41818181818181815,0.7454545454545455,0.41818181818181815,0.26517119244391973,0.2545454545454545,0.3400826446280991
884524,0,10.333333333333334,26.0,0,3,0,3,3,0.0,0.0,0.0,0.022366522366522368,1.0,0.15782828282828282
884946,20,109.7843137254902,118.68627450980392,44,7,2,267,51,0.39215686274509803,0.8627450980392157,0.39215686274509803,0.2376283846872082,0.13725490196078427,0.29983660130718953
885682,3,17.0,0.0,3,0,0,3,3,1.0,1.0,1.0,0.0367965367965368,0.0,0.5128787878787879
885876,45,100.2421875,426.46875,34,94,2,1076,128,0.3515625,0.265625,0.3515625,0.21697443181818182,0.734375,0.36187855113636364
885890,24,113.85,751.6,2,98,0,1220,100,0.24,0.02,0.24,0.2464285714285714,0.98,0.35324999999999995
886146,10,53.55555555555556,161.16666666666666,17,1,0,41,18,0.5555555555555556,0.9444444444444444,0.5555555555555556,0.11592111592111592,0.05555555555555558,0.32668350168350174
886674,0,17.545454545454547,16.818181818181817,0,11,0,14,11,0.0,0.0,0.0,0.03797717434081071,1.0,0.16329201101928376
